"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2024-01-28","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.2"," 9","  39.4"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9"," 21.3"," 9"," 24.1"," 40.0","  44.6","*","  42.8","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-29","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.0","10","  39.9","10","9999.9"," 0","999.9"," 0","  6.2","10","  4.1","10","  6.0","999.9","9999.9"," ","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-30","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.1","10","  35.6","10","9999.9"," 0","999.9"," 0","  6.2","10","  4.3","10","  8.0","999.9","  41.0","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2024-01-31","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.5"," 8","  41.5"," 8","9999.9"," 0","999.9"," 0","  5.4"," 8"," 17.5"," 8"," 25.1"," 40.0","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-02-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.9","12","  34.7","12","9999.9"," 0","999.9"," 0","  6.2","12"," 19.0","12"," 36.9"," 62.0","  42.8","*","  35.6","*","99.99"," ","999.9","011000"
"01001499999","2024-02-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.1","13","  45.7","13","9999.9"," 0","999.9"," 0","  1.2","13"," 13.8","13"," 21.0"," 34.0","  46.4","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2024-02-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.6"," 9","  35.6"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9"," 15.0"," 9"," 19.0"," 42.0","  42.8","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2024-02-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.3","10","  30.4","10","9999.9"," 0","999.9"," 0","  5.9","10","  4.6","10","  8.0","999.9","  35.6","*","  30.2","*","99.99"," ","999.9","001000"
"01001499999","2024-02-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  31.0"," 7","  26.3"," 7","9999.9"," 0","999.9"," 0","  2.2"," 7"," 14.4"," 7"," 17.1","999.9","  32.0","*","  28.4","*","99.99"," ","999.9","101000"
"01001499999","2024-02-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.4"," 9","  29.2"," 9","9999.9"," 0","999.9"," 0","  5.1"," 9","  9.5"," 9"," 13.0","999.9","  32.0","*","  26.6","*","99.99"," ","999.9","001000"
"01001499999","2024-02-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.3","12","  27.6","12","9999.9"," 0","999.9"," 0","  6.2","12","  7.5","12","  9.9","999.9","  32.0","*","  24.8","*"," 0.00","I","999.9","000000"
"01001499999","2024-02-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  27.4","12","  17.3","12","9999.9"," 0","999.9"," 0","  6.2","12","  3.4","12","  8.0","999.9","  33.8","*","  21.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-02-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.0"," 9","  29.0"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9"," 15.6"," 9"," 20.0"," 29.9","  42.8","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2024-02-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  34.2","10","  34.2","10","9999.9"," 0","999.9"," 0","  3.5","10"," 14.7","10"," 15.9","999.9","  35.6","*","  32.0","*","99.99"," ","999.9","010000"
"01001499999","2024-02-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  35.6"," 8","  35.4"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8"," 12.8"," 8"," 14.0"," 22.9","  37.4","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2024-02-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.3","10","  40.3","10","9999.9"," 0","999.9"," 0","  6.2","10","  9.7","10"," 12.0","999.9","  41.0","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-02-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.1","12","  34.1","12","9999.9"," 0","999.9"," 0","  6.2","12"," 11.7","12"," 20.0"," 29.9","  42.8","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-02-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.4","13","  42.4","13","9999.9"," 0","999.9"," 0","  1.9","11","  8.0","13"," 17.1","999.9","  42.8","*","  39.2","*","99.99"," ","999.9","110000"
"01001499999","2024-02-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.6"," 8","  40.6"," 8","9999.9"," 0","999.9"," 0","  6.0"," 8"," 11.7"," 8"," 13.0","999.9","  41.0","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-02-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.6"," 9","  43.6"," 9","9999.9"," 0","999.9"," 0","  4.9"," 9","  5.8"," 9","  8.9","999.9","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2024-02-21","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.5"," 8","  41.5"," 8","9999.9"," 0","999.9"," 0","  5.4"," 8","  9.6"," 8"," 13.0","999.9","  42.8","*","  41.0","*"," 0.00","I","999.9","100000"
"01001499999","2024-02-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.2","12","  37.4","12","9999.9"," 0","999.9"," 0","  6.2","12"," 12.7","12"," 19.0"," 33.0","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-02-23","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.8","13","  37.8","13","9999.9"," 0","999.9"," 0","  5.2","13"," 11.8","13"," 20.0"," 33.0","  41.0","*","  33.8","*","99.99"," ","999.9","010000"
"01001499999","2024-02-25","59.791925","5.34085","48.76","SORSTOKKEN, NO","  40.8"," 9","  39.4"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  6.5"," 9","  8.9","999.9","  44.6","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2024-02-26","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.0","10","  36.0","10","9999.9"," 0","999.9"," 0","  3.8","10","  3.4","10","  8.9","999.9","  46.4","*","  32.0","*"," 0.00","I","999.9","100000"
"01001499999","2024-02-27","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.3","10","  35.6","10","9999.9"," 0","999.9"," 0","  6.1","10"," 17.8","10"," 21.0"," 35.0","  39.2","*","  37.4","*","99.99"," ","999.9","010000"
"01001499999","2024-02-28","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.1","10","  42.4","10","9999.9"," 0","999.9"," 0","  6.2","10"," 10.7","10"," 13.0"," 22.9","  46.4","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2024-02-29","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.5","12","  42.8","12","9999.9"," 0","999.9"," 0","  6.1","12"," 14.7","12"," 17.1"," 28.0","  46.4","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2024-03-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.3","12","  41.3","12","9999.9"," 0","999.9"," 0","  6.1","12","  5.5","12"," 12.0","999.9","  44.6","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-03-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  50.6"," 9","  41.8"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  7.7"," 9"," 14.0","999.9","  53.6","*","  46.4","*","99.99"," ","999.9","010000"
"01001499999","2024-03-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  48.7","10","  37.9","10","9999.9"," 0","999.9"," 0","  6.2","10"," 12.5","10"," 18.1","999.9","  51.8","*","  46.4","*","99.99"," ","999.9","010000"
"01001499999","2024-03-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.8","10","  23.7","10","9999.9"," 0","999.9"," 0","  6.2","10","  5.4","10"," 14.0","999.9","  51.8","*","  39.2","*"," 0.00","I","999.9","000000"
