"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01006099999","2024-01-02","78.25","22.8166666","14.0","EDGEOYA, NO","  12.9"," 5","   8.0"," 5","1005.0"," 5","003.4"," 5","999.9"," 0"," 11.1"," 5"," 13.6"," 18.6","  22.3","*","   0.3"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-04","78.25","22.8166666","14.0","EDGEOYA, NO","  -6.7"," 4"," -10.6"," 4","1005.6"," 4","004.0"," 4","999.9"," 0","  3.4"," 4","  3.9","999.9","  -4.0"," "," -11.7"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-05","78.25","22.8166666","14.0","EDGEOYA, NO","  -6.1"," 4"," -12.6"," 4","1007.7"," 4","006.0"," 4","999.9"," 0","  6.8"," 4"," 11.7","999.9","  -0.0"," "," -15.2"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-07","78.25","22.8166666","14.0","EDGEOYA, NO","  -5.4"," 4"," -10.2"," 4","1018.5"," 4","016.8"," 4","999.9"," 0","  9.5"," 4"," 11.7","999.9","   0.3"," ","  -6.5","*"," 0.00","I","999.9","000000"
"01006099999","2024-01-08","78.25","22.8166666","14.0","EDGEOYA, NO","  -7.7"," 4"," -12.1"," 4","1018.7"," 4","016.9"," 4","999.9"," 0","  2.0"," 4","  3.9","999.9","  -2.2"," "," -18.4"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-11","78.25","22.8166666","14.0","EDGEOYA, NO"," -14.4"," 5"," -19.4"," 5","1025.6"," 5","023.8"," 5","999.9"," 0","  2.4"," 5"," 10.1"," 11.1","  -7.2"," "," -27.4"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-13","78.25","22.8166666","14.0","EDGEOYA, NO","  -1.3"," 4","  -6.5"," 4","1012.3"," 4","010.6"," 4","999.9"," 0"," 18.9"," 4"," 23.3","999.9","   0.9"," ","  -4.7"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-14","78.25","22.8166666","14.0","EDGEOYA, NO"," -10.9"," 4"," -15.7"," 4","1014.4"," 4","012.7"," 4","999.9"," 0","  6.3"," 4"," 11.7","999.9","  -8.1"," "," -18.4"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-15","78.25","22.8166666","14.0","EDGEOYA, NO"," -14.8"," 4"," -19.7"," 4","1019.6"," 4","017.9"," 4","999.9"," 0","  7.8"," 4"," 11.7","999.9"," -10.5"," "," -18.9"," "," 0.00","I","999.9","000000"
"01006099999","2024-01-16","78.25","22.8166666","14.0","EDGEOYA, NO"," -13.6"," 4"," -19.3"," 4","1024.6"," 4","022.8"," 4","999.9"," 0"," 13.1"," 4"," 17.5","999.9"," -10.1"," "," -16.8"," "," 0.00","I","999.9","000000"
